Type,Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Bytes,Mean,Error,StdDev,Scaled,ScaledSD,Throughput
HashByteArray,HalfSip13_Block,clr-legacy-x86-64,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,86.888 ns,0.6110 ns,0.5716 ns,50.95,0.50,44 MiB/s
CombineHashCodes,Sip13_Combine,clr-legacy-x86-64,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,51.188 ns,0.2845 ns,0.2661 ns,30.01,0.27,75 MiB/s
CombineHashCodes,Sip24_Combine,clr-legacy-x86-64,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,72.162 ns,0.4785 ns,0.4476 ns,42.31,0.41,53 MiB/s
CombineHashCodes,Marvin32_Combine,clr-legacy-x86-64,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,30.898 ns,0.0970 ns,0.0757 ns,18.12,0.14,123 MiB/s
HashByteArray,HalfSip24_Block,clr-legacy-x86-64,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,147.778 ns,1.0297 ns,0.9632 ns,86.65,0.85,26 MiB/s
CombineHashCodes,XXHash32_Combine,clr-legacy-x86-64,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,8.139 ns,0.0571 ns,0.0534 ns,4.77,0.05,469 MiB/s
HashByteArray,Sip13_Block,clr-legacy-x86-64,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,80.007 ns,0.5029 ns,0.4704 ns,46.91,0.44,48 MiB/s
CombineHashCodes,XXHash64_Combine,clr-legacy-x86-64,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,7.144 ns,0.0625 ns,0.0584 ns,4.19,0.05,534 MiB/s
CombineHashCodes,SeaHash_Combine,clr-legacy-x86-64,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,8.414 ns,0.1195 ns,0.1060 ns,4.93,0.07,453 MiB/s
HashByteArray,Sip24_Block,clr-legacy-x86-64,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,113.139 ns,0.4630 ns,0.4331 ns,66.34,0.56,34 MiB/s
CombineHashCodes,SpookyV2_Combine,clr-legacy-x86-64,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,74.104 ns,0.4387 ns,0.4103 ns,43.45,0.40,51 MiB/s
HashByteArray,Marvin32_Block,clr-legacy-x86-64,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,23.879 ns,0.1231 ns,0.1152 ns,14.00,0.12,160 MiB/s
CombineHashCodes,City32_CustomSeed_Combine,clr-legacy-x86-64,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,17.503 ns,0.1089 ns,0.0965 ns,10.26,0.09,218 MiB/s
HashByteArray,SpookyV2_Block,clr-legacy-x86-64,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,84.004 ns,0.5595 ns,0.4368 ns,49.26,0.45,45 MiB/s
